1, 8.51450556298e-05 2101.52013279 0.17611046998 1275.22629877 0.0292017618254 306.639126083 2999.38506231 7.77595717406 14.1399943975 3.49372876268e-05 6.51829669429 -0.0301507342453 0.555818406894 
1, 8.63924602175e-05 1849.10065094 0.136010758441 1069.41475354 0.0279334149124 304.761294358 2428.5583632 7.64669780273 13.936421497 3.95134352285e-05 6.40923052601 -0.0289005819529 0.537513345119 
1, 8.9694126382e-05 1808.37324217 0.133515245843 1042.85323311 0.0284536109407 304.012975904 2363.03969027 7.62513876436 13.8937080606 4.04984753798e-05 6.38798843649 -0.0299607150904 0.543920465103 
1, 9.34360158527e-05 1748.61121283 0.125886245711 999.500413598 0.0287631416941 303.876616809 2249.39044156 7.58824525949 13.8333765177 4.16894392105e-05 6.35876357306 -0.0303770693477 0.545444154095 
1, 9.58506585934e-05 1717.81538105 0.121081246669 976.408247773 0.0291853809748 303.658519803 2187.81761004 7.56756137611 13.7973270948 4.2411721072e-05 6.34315797949 -0.0307758331785 0.547863173708 
1, 8.69713033356e-05 1920.90133669 0.107290714204 1074.68391801 0.0270318017806 310.469297171 2377.83433534 7.62922084969 13.929332563 3.97724915123e-05 6.41686241889 -0.0309608698454 0.543103959053 
1, 9.01584406085e-05 1855.73512737 0.113071882889 1044.73018147 0.0275442210653 314.469025644 2323.18559851 7.61067603006 13.877726235 4.11642190237e-05 6.38262468523 -0.0324086429026 0.551967885209 
1, 8.19377322591e-05 2034.83739801 0.128407931877 1164.93605859 0.0270224095639 342.857313469 2624.90683634 7.6909640654 13.9759137709 3.88161495985e-05 6.43399631972 -0.0346986983897 0.573679482927 
2, 0.000241414963923 339.933464357 0.942009671215 2939.14467748 0.100925489477 203.823125363 11416.6452456 8.05881458491 12.762464899 0.000136001714223 5.11236078207 -0.22303878176 0.975062661763 
2, 0.000229777025806 366.809228529 0.938137784677 2971.75526924 0.0949726815273 202.767687141 11520.2118484 8.03675629363 12.8475786569 0.000128629935565 5.1821990993 -0.206982836923 0.968373085514 
2, 0.0002316308596 339.43319095 0.941782888893 2920.83776867 0.0918686363082 198.214845246 11343.9178837 8.01948246385 12.8155838902 0.00012896861706 5.14673882416 -0.204696148223 0.966932731502 
2, 0.000252251782097 319.750454237 0.945023726513 2913.39599798 0.0954230220144 197.585903435 11333.8335377 8.00171453305 12.7218497669 0.000135605005096 5.09914967762 -0.21173371663 0.969597546013 
2, 0.000232786534206 352.042365709 0.94196720449 3037.88166342 0.0926672582073 197.071156571 11799.484288 8.04745040576 12.8654832491 0.000129521824818 5.1721984733 -0.203940808658 0.966872646373 
2, 0.000258268050949 304.237486622 0.950926772576 3104.41856742 0.0994154577407 199.798589617 12113.4367831 8.04001410557 12.751112691 0.000140616252878 5.06538633218 -0.216023264471 0.971875929655 
